Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
other,$405.50 ,other,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,3,GHz,notebook/laptop,1280,720,windows,ssd,,unknown,240,gb,13.3,,gb
other,$298.80 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$81.40 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",geprüfte gebrauchtware kleine kratzer auf dem deckel,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$380.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",very good,other,intel core i3 2330m,,unknown,other,,,unknown,unknown,,unknown,,unknown,15.6,,unknown
dell,$125.00 ,black,Wi-Fi,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel core 2 duo,2,GHz,notebook/laptop,1280,800,windows,hdd/ssd,160,gb,,tb,15.4,3,gb
other,$111.50 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$78.20 ,other,,Undefined,Undefined,undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$32.56 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
lenovo,$250.00 ,black,,Undefined,Undefined,undefined,other,amd ryzen 5,2.1,GHz,other,1920,1080,windows,ssd,256,gb,256,gb,15.6,8,gb
other,$344.50 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$405.50 ,other,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,3,GHz,notebook/laptop,1280,720,windows,ssd,,unknown,240,gb,13.3,,gb
hp,$140.00 ,silver,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",Undefined,Undefined,undefined,intel,intel pentium,1.1,GHz,notebook/laptop,1366,768,chrome,ssd,64,gb,64,gb,14,4,gb
hp,$759.00 ,other,"Wi-Fi, Backlit Keyboard, Built-in Microphone, Built-in Webcam, Bluetooth",Undefined,Undefined,undefined,other,undefined,,unknown,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,13,8,gb
lenovo,"$1,197.00 ",other,"Bluetooth, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",Undefined,Undefined,undefined,intel,intel core i7 13th generation,1.7,GHz,notebook/laptop,1920,1200,windows,ssd,256,gb,512,gb,14,16,gb
dell,$400.00 ,other,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel,,unknown,notebook/laptop,,,unknown,unknown,,unknown,,unknown,15.6,,unknown
other,$96.56 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$26.16 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$425.50 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
lenovo,$461.80 ,other,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 3rd generation,3,GHz,notebook/laptop,1280,720,windows,hdd/ssd,500,gb,120,gb,14,,gb
other,$216.00 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,$487.50 ,other,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,1920,1080,windows,unknown,,unknown,240,gb,12.5,,gb
other,$449.20 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,nvidia,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$487.20 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","sehr guter zustand, ssd (neu)",other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$530.00 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$354.00 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$859.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,"$1,724.00 ",other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$812.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
auo,$70.30 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$22.34 ,other,,For parts or not working,"An item that does not function as intended and is not fully operational. This includes items that are defective in ways that render them difficult to use, items that require service or repair, items that are locked or can't be activated, or items missing essential components. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$269.50 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel i5,2.5,GHz,notebook/laptop,,,unknown,unknown,,unknown,,unknown,,4,gb
other,$92.10 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$240.20 ,other,,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$357.00 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$436.00 ,other,"10/100 LAN Card, Webcam integrated, Wi-Fi, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 4th generation,3,GHz,notebook/laptop,1280,720,windows,ssd,,unknown,240,gb,13.3,,gb
dell,$144.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5-2520m,2.5,GHz,notebook/laptop,1600,900,unknown,hdd/ssd,240,gb,,tb,14,4,gb
dell,$430.20 ,black,"Touchscreen, 10/100 LAN Card, Bluetooth, LTE, Backlit Keyboard, Webcam integrated, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.8,GHz,notebook/laptop,1920,1080,windows,unknown,,unknown,240,gb,12.5,,gb
other,$276.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$165.00 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,$323.80 ,black,"10/100 LAN Card, Wi-Fi, SD Card Reader, Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,1280,720,windows,unknown,,unknown,120,gb,14,,gb
other,$88.70 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$110.06 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$475.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$48.84 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$627.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,$443.80 ,black,"Webcam integrated,  Wi-Fi,  Touchscreen,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 6th generation,2.3,GHz,notebook/laptop,1920,1080,windows,ssd,,unknown,240,gb,12.5,,gb
other,$650.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$94.10 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$269.20 ,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$425.20 ,other,,Excellent - Refurbished,"The item is in like-new condition, backed by a one year warranty. It has been professionally refurbished, inspected and cleaned to excellent condition by qualified sellers. The item includes original or new accessories and will come in new generic packaging. See the seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$546.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,"$1,752.00 ",other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,"$2,108.00 ",black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
lg,$93.75 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$81.90 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$113.75 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$358.80 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$301.50 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$103.20 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$108.06 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$91.20 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$106.56 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$85.75 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
lg,$93.25 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$81.60 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$41.50 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$296.80 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$84.20 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,$75.00 ,silver,"Bluetooth, Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.7,GHz,notebook/laptop,,,windows,hdd/ssd,200,gb,,unknown,14,4,gb
other,$166.20 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
lenovo,$456.80 ,other,"Webcam integrated, Wi-Fi, Bluetooth",Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,intel core i3 7th generation,3,GHz,notebook/laptop,1280,720,windows,ssd,,unknown,120,gb,13.3,,gb
other,$959.00 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$27.12 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
dell,$314.50 ,other,"10/100 LAN Card,  Wi-Fi,  SD Card Reader",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i5 4th generation,2.6,GHz,notebook/laptop,1280,720,windows,unknown,,unknown,240,gb,14,,gb
dell,$400.20 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,other,intel i5-5300u,2.3,GHz,other,,,windows,unknown,,unknown,,unknown,1435,8,gb
dell,$214.80 ,black,"Bluetooth, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",these units are fully functional and have all necessary accessories including a new operating system.,intel,8365u,1.6,GHz,other,1366,768,windows,unknown,0,gb,240,gb,14,8,gb
lenovo,$708.00 ,other,"10/100 LAN Card, Touchscreen, Wi-Fi, Bluetooth",Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,intel core i5 6th generation,3,GHz,notebook/laptop,,,windows,ssd,,unknown,480,gb,14,,unknown
other,$326.20 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,nvidia,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$329.80 ,other,"10/100 LAN Card,  Webcam integrated,  Wi-Fi,  Bluetooth",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,intel core i3 6th generation,3,GHz,notebook/laptop,1280,720,windows,ssd,,unknown,256,gb,13.3,,gb
other,$110.00 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$304.50 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$162.80 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
acer,$67.06 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,not applicable,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$382.00 ,black,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$85.70 ,other,,Undefined,Undefined,undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$651.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$104.94 ,other,,New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,"$1,703.00 ",other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$127.75 ,black,,Undefined,Undefined,undefined,other,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,"$1,291.00 ",other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
other,$731.50 ,other,,Seller refurbished,"The item has been restored to working order by the eBay seller or a third party. This means the item was inspected, cleaned, and repaired to full working order and is in excellent condition. This item may or may not be in original packaging. See seller's listing for full details.",undefined,intel,undefined,,unknown,other,,,unknown,unknown,,unknown,,unknown,,,unknown
