Brand,Price,Color,Features,Condition,Condition Description,Seller Note,GPU,Processor,Processor Speed,Processor Speed Unit,Type,Width of the Display,Height of the Display,OS,Storage Type,Hard Drive Capacity,Hard Drive Capacity Unit,SSD Capacity,SSD Capacity Unit,Screen Size (inch),Ram Size,Ram Size Unit
dell,$225.00 ,black,Touchscreen,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","pre-owner dell precision 7510 mobile workstation touchscreen 15.6"" intel quad core i7-6820hq @2.70ghz, 16gb memory, 512gb ssd, 2gb nvidia quadro m1000m 1920 x 1080 resolution, come genuine 180 watt a/c power adapter & battery, fully tested and functional. loaded windows 11 pro 64bit.",nvidia,intel quad i7-6920hq @2.90ghz,2.7,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,15.6,16,gb
lenovo,$200.00 ,black,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",c4-used good. comes with keyboard but no charger included. may have minor cosmetic wears.,other,intel core i5-8350u,1.7,GHz,other,,,windows,ssd,256,gb,256,gb,13,8,gb
lenovo,$616.50 ,gray,"Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Convertible 2-in-1 Laptop/Tablet, Touchscreen, Wi-Fi, Fingerprint Reader, Webcam Kill Switch",Open box,"An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.","this laptop has been ""certified factory refurbished"" by lenovo direct (not by 3rd party) to brand new condition and is backed by a lenovo factory warranty. looks just ""like new"" sealed in a lenovo box. lenovo warranty card. all original accessories included! you wont see a difference. save big!!!",intel,intel core i7 12th generation,4.7,GHz,notebook/laptop,2560,1600,windows,ssd,512,gb,512,gb,16,16,gb
other,$324.00 ,gray,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Convertible 2-in-1 Laptop/Tablet,  Wi-Fi",New,"A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.",undefined,intel,intel n100,3.4,GHz,notebook/laptop,1920,1200,windows,ssd,512,gb,512,gb,10.5,12,gb
other,$162.00 ,other,,Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","ce produit reconditionné a été inspecté, testé et nettoyé de manière professionnelle il est en bon état garantie de 12 moisnotre société reconnue dans le domaine du du reconditionnement de matériels informatique . c est ce qui lui permet de proposer à un grand nombre d internautes un vaste choix de pc d occasion",other,undefined,,unknown,notebook/laptop,,,unknown,unknown,,unknown,,unknown,,,unknown
lenovo,$154.00 ,black,"Built-in Webcam, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.","fair to good condition. this is a used laptop. except for some minor wear and tear, its full functioning as it should be. it comes with 16gb ram memory 512gb ssd hard drive, windows 11 pro office pro.adobe web cam wifi complete with battery and charger. ready to use. note: no built-in optical dvd drive",intel,intel core i5-5300u cpu @ 2.30 ghz,2.3,GHz,notebook/laptop,1600,900,windows,ssd,512,gb,512,gb,14,16,gb
hp,$380.00 ,silver,"Widescreen Display, Backlit Keyboard, Touchscreen, Convertible 2-in-1 Laptop/Tablet, Multi-Touch Trackpad, Bluetooth, Built-in Microphone, 10/100 LAN Card, Touch ID, Built-in Webcam, Wi-Fi",Undefined,Undefined,undefined,intel,intel core i5 11th generation,2.4,GHz,notebook/laptop,1920,1080,windows,ssd,256,gb,256,gb,15.6,8,gb
dell,$80.00 ,multicolor,"Backlit Keyboard, Multi-Touch Trackpad, Optical Drive, Widescreen Display, Wi-Fi",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,intel,i5-4200m,2.5,GHz,notebook/laptop,,,linux,ssd,,unknown,240,gb,15.6,8,gb
dell,$800.00 ,silver,"Wi-Fi,Bluetooth,Built-in Webcam,Built-in Microphone",Used,"An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller's listing for full details and description of any imperfections.",undefined,nvidia,i5-11500h,4.6,GHz,notebook/laptop,1920,1200,windows,ssd,256,gb,256,gb,17,16,gb
hp,$170.00 ,silver,,Undefined,Undefined,undefined,other,intel core i7 11th generation,3,GHz,notebook/laptop,1920,1080,windows,ssd,512,gb,512,gb,14,8,gb
